title;director;duration;listed_in;rating;times_rated;duration_category
Shadow Parties;Yemi Amodu;117.0;Drama, International, Thriller;8.55;393.0;Medium Duration
Angamaly Diaries;Lijo Jose Pellissery;128.0;Action & Adventure, Comedy, Drama;8.21;183.0;High Duration
A Champion Heart;David de Vos;90.0;Drama;8.36;379.0;Medium Duration
Worth;Sara Colangelo;119.0;Drama;9.04;304.0;Medium Duration
Afterlife of the Party;Stephen Herek;110.0;Comedy, Romantic;8.76;271.0;Medium Duration
Anjaam;Rahul Rawail;143.0;Drama, International, Thriller;9.12;327.0;High Duration
Bright Star;Jane Campion;119.0;Drama, Romantic;9.7;298.0;Medium Duration
Dhanak;Nagesh Kukunoor;114.0;Comedy, Drama;9.47;188.0;Medium Duration
Gurgaon;Shanker Raman;106.0;Drama, International, Thriller;8.1;374.0;Medium Duration
Here and There;JP Habac;99.0;Drama, International, Romantic;8.23;263.0;Medium Duration
In the Cut;Jane Campion;118.0;Thriller;8.21;331.0;Medium Duration
Shikara;Vidhu Vinod Chopra;115.0;Drama, International, Romantic;8.55;394.0;Medium Duration
A Cinderella Story;Mark Rosman;95.0;Comedy;9.42;184.0;Medium Duration
Agatha Christie's Crooked House;Gilles Paquet-Brenner;115.0;Drama, International, Thriller;9.63;377.0;Medium Duration
An Unfinished Life;Lasse Hallström;108.0;Drama;9.15;226.0;Medium Duration
Blade Runner: The Final Cut;Ridley Scott;117.0;Action & Adventure;9.39;383.0;Medium Duration
Chappie;Neill Blomkamp;121.0;Action & Adventure, Sci-Fi & Fantasy;9.46;278.0;Medium Duration
Clear and Present Danger;Phillip Noyce;142.0;Action & Adventure, Drama;8.81;183.0;High Duration
Cliffhanger;Renny Harlin;113.0;Action & Adventure;9.54;227.0;Medium Duration
Cold Mountain;Anthony Minghella;154.0;Drama, Romantic;9.26;320.0;High Duration
Crocodile Dundee in Los Angeles;Simon Wincer;95.0;Action & Adventure, Comedy;8.41;321.0;Medium Duration
Dear John;Lasse Hallström;108.0;Drama, Romantic;9.11;270.0;Medium Duration
Do the Right Thing;Spike Lee;120.0;Comedy, Drama;9.62;175.0;Medium Duration
El patrón, radiografía de un crimen;Sebastián Schindel;100.0;Drama, International, Thriller;9.23;238.0;Medium Duration
Extraction;Steven C. Miller;82.0;Action & Adventure;8.32;385.0;Medium Duration
Freedom Writers;Richard LaGravenese;124.0;Drama;9.33;294.0;Medium Duration
Green Lantern;Martin Campbell;114.0;Action & Adventure, Sci-Fi & Fantasy;8.08;218.0;Medium Duration
House Party;Reginald Hudlin;104.0;Comedy;9.49;365.0;Medium Duration
House Party 2;George Jackson, Doug McHenry;94.0;Comedy;9.46;283.0;Medium Duration
House Party 3;Eric Meza;94.0;Comedy;9.43;290.0;Medium Duration
I Got the Hook Up;Michael Martin;93.0;Action & Adventure, Comedy;9.5;260.0;Medium Duration
In Too Deep;Michael Rymer;97.0;Thriller;9.32;289.0;Medium Duration
Initial D;Andrew Lau Wai-keung, Alan Mak;109.0;Action & Adventure, International;9.83;313.0;Medium Duration
Janoskians: Untold and Untrue;Brett Weiner;88.0;Comedy;8.67;249.0;Medium Duration
Labyrinth;Jim Henson;101.0;Action & Adventure;8.09;194.0;Medium Duration
Letters to Juliet;Gary Winick;105.0;Comedy, Drama, Romantic;9.31;164.0;Medium Duration
Level 16;Danishka Esterhazy;102.0;Sci-Fi & Fantasy, Thriller;9.07;387.0;Medium Duration
Love Don't Cost a Thing;Troy Byer;101.0;Comedy, Romantic;9.78;323.0;Medium Duration
Love in a Puff;Pang Ho-cheung;103.0;Comedy, Drama, International;9.06;175.0;Medium Duration
Mars Attacks!;Tim Burton;106.0;Comedy, Sci-Fi & Fantasy;9.3;383.0;Medium Duration
Marshall;Reginald Hudlin;118.0;Drama;9.26;238.0;Medium Duration
My Boss's Daughter;David Zucker;86.0;Comedy, Romantic;9.54;289.0;Medium Duration
Mystery Men;Kinka Usher;121.0;Action & Adventure, Comedy;8.73;165.0;Medium Duration
Once Upon a Time in America;Sergio Leone;229.0;Drama;8.4;347.0;High Duration
Open Season 2;Matthew O'Callaghan, Todd Wilderman;76.0;Comedy;8.25;204.0;Medium Duration
Osmosis Jones;Bobby Farrelly, Peter Farrelly;95.0;Action & Adventure, Comedy;8.72;374.0;Medium Duration
Poseidon;Wolfgang Petersen;98.0;Action & Adventure, Drama;8.04;396.0;Medium Duration
Same Kind of Different as Me;Michael Carney;120.0;Drama;8.45;325.0;Medium Duration
School of Rock;Richard Linklater;110.0;Comedy;8.22;273.0;Medium Duration
Tears of the Sun;Antoine Fuqua;121.0;Action & Adventure, Drama;9.77;171.0;Medium Duration
The Blue Lagoon;Randal Kleiser;105.0;Drama, Romantic;9.17;266.0;Medium Duration
The Golden Child;Michael Ritchie;94.0;Action & Adventure, Comedy;8.93;338.0;Medium Duration
The Guns of Navarone;J. Lee Thompson;156.0;Action & Adventure;8.09;185.0;High Duration
The Interview;Evan Goldberg, Seth Rogen;112.0;Action & Adventure, Comedy;8.79;282.0;Medium Duration
The Nutty Professor;Tom Shadyac;95.0;Comedy, Romantic;9.22;370.0;Medium Duration
The Nutty Professor II: The Klumps;Peter Segal;107.0;Comedy, Romantic;8.78;281.0;Medium Duration
Welcome Home Roscoe Jenkins;Malcolm D. Lee;114.0;Comedy;9.4;240.0;Medium Duration
In the Line of Fire;Wolfgang Petersen;129.0;Action & Adventure;8.33;369.0;High Duration
2 Alone in Paris;Ramzy Bedia, Éric Judor;97.0;Comedy, International;8.97;181.0;Medium Duration
Thimmarusu;Sharan Koppisetty;125.0;Drama, International;8.56;352.0;Medium Duration
Wind River;Taylor Sheridan;107.0;Drama;8.14;307.0;Medium Duration
C Kkompany;Sachin Yardi;127.0;Action & Adventure, Comedy, International;9.34;381.0;Medium Duration
EMI: Liya Hai To Chukana Padega;Saurabh Kabra;128.0;Comedy, Drama, International;9.08;295.0;High Duration
He's All That;Mark Waters;92.0;Comedy, Romantic;9.8;249.0;Medium Duration
Koi Aap Sa;Partho Mitra;135.0;Comedy, Drama, International;8.31;356.0;High Duration
Krishna Cottage;Santram Varma;124.0;Action & Adventure, Horror, International;8.88;364.0;Medium Duration
Kucch To Hai;Anil V. Kumar, Anurag Basu;136.0;Drama, International, Thriller;9.35;393.0;High Duration
Kyaa Kool Hai Hum;Sangeeth Sivan;165.0;Comedy, International;9.09;218.0;High Duration
Kyaa Kool Hain Hum 3;Umesh Ghadge;124.0;Comedy, International;9.38;375.0;Medium Duration
Kyaa Super Kool Hain Hum;Sachin Yardi;136.0;Comedy, International;9.18;312.0;High Duration
Kyo Kii... Main Jhuth Nahin Bolta;David Dhawan;150.0;Comedy, International, Sci-Fi & Fantasy;9.63;274.0;High Duration
LSD: Love, Sex Aur Dhokha;Dibakar Banerjee;112.0;Drama, International;8.97;292.0;Medium Duration
Mission Istaanbul: Darr Ke Aagey Jeet Hai;Apoorva Lakhia;119.0;Action & Adventure, International;9.22;205.0;Medium Duration
Once Upon a Time in Mumbaai;Milan Luthria;133.0;Drama, International;9.4;168.0;High Duration
Once Upon a Time in Mumbai Dobaara!;Milan Luthria;142.0;Drama, International;8.15;296.0;High Duration
Ragini MMS;Pawan Kripalani;93.0;Horror, International;9.1;166.0;Medium Duration
Ragini MMS 2;Bhushan Patel;113.0;Horror, International;9.04;189.0;Medium Duration
SAS: Rise of the Black Swan;Magnus Martens;124.0;Action & Adventure, International;8.46;215.0;Medium Duration
Shootout at Lokhandwala;Apoorva Lakhia;116.0;Action & Adventure, Drama, International;9.76;201.0;Medium Duration
Shor In the City;Raj Nidimoru, Krishna D.K.;106.0;Comedy, Drama;8.79;332.0;Medium Duration
The Dirty Picture;Milan Luthria;145.0;Comedy, Drama, International;8.85;213.0;High Duration
Really Love;Angel Kristi Williams;95.0;Drama, Romantic;9.9;292.0;Medium Duration
The November Man;Roger Donaldson;108.0;Action & Adventure;9.23;223.0;Medium Duration
The Old Ways;Christopher Alender;90.0;Horror;8.16;274.0;Medium Duration
The Water Man;David Oyelowo;92.0;Drama;9.52;321.0;Medium Duration
Boomika;Rathindran R Prasad;122.0;Horror, International, Thriller;9.71;371.0;Medium Duration
Boomika (Hindi);Rathindran R Prasad;122.0;Horror, International, Thriller;8.28;189.0;Medium Duration
Boomika (Malayalam);Rathindran R Prasad;122.0;Horror, International, Thriller;8.31;375.0;Medium Duration
Boomika (Telugu);Rathindran R Prasad;122.0;Horror, International, Thriller;8.62;173.0;Medium Duration
The Witcher: Nightmare of the Wolf;Han Kwang Il;84.0;Action & Adventure;8.89;175.0;Medium Duration
Gunshot;Karim El Shenawy;96.0;Drama, International, Thriller;8.3;367.0;Medium Duration
Man in Love;Yin Chen-hao;115.0;Drama, International, Romantic;8.19;377.0;Medium Duration
Sweet Girl;Brian Andrew Mendoza;110.0;Action & Adventure, Drama;9.55;341.0;Medium Duration
The Loud House Movie;Dave Needham;88.0;Comedy;9.48;237.0;Medium Duration
A Faraway Land;Veronica Velasco;102.0;Drama, International, Romantic;9.56;290.0;Medium Duration
Like Crazy;Drake Doremus;91.0;Drama, Romantic;9.51;329.0;Medium Duration
Black Island;Miguel Alexandre;105.0;International, Thriller;8.57;220.0;Medium Duration
Bombay;Mani Ratnam;135.0;Drama, International, Romantic;9.32;193.0;High Duration
Memories of a Murderer: The Nilsen Tapes;Michael Harte;86.0;International;8.32;212.0;Medium Duration
Nneka The Pretty Serpent;Tosin Igho;140.0;Drama, International;8.58;320.0;High Duration
O Kadhal Kanmani;Mani Ratnam;133.0;Drama, International, Romantic;9.29;391.0;High Duration
Out of my league;Alice Filippi;92.0;Comedy, Drama, International;9.1;341.0;Medium Duration
Pahuna;Paakhi Tyrewala;82.0;Comedy, Drama, International;8.03;273.0;Medium Duration
The Secret Diary of an Exchange Student;Bruno Garotti;97.0;Comedy, International, Romantic;8.02;192.0;Medium Duration
Walk of Shame;Steve Brill;94.0;Comedy;8.34;274.0;Medium Duration
The Piano;Jane Campion;121.0;Drama;8.9;304.0;Medium Duration
Unroyal;Moses Inwang;97.0;Drama, International;9.32;306.0;Medium Duration
Beckett;Ferdinando Cito Filomarino;110.0;Action & Adventure;9.68;351.0;Medium Duration
Lokillo: Nothing's the Same;Julián Gaviria;64.0;Stand-Up Comedy;8.16;213.0;Low Duration
Monster Hunter: Legends of the Guild;Steven Yamamoto;59.0;Action & Adventure;9.33;211.0;Low Duration
Brother Jekwu;Charles Uwagbai;101.0;Comedy, International;8.54;230.0;Medium Duration
La diosa del asfalto;Julián Hernández;127.0;Drama, International;9.19;321.0;Medium Duration
Misha and the Wolves;Sam Hobkinson;90.0;International;9.23;184.0;Medium Duration
The Kissing Booth 3;Vince Marcello;114.0;Comedy, Romantic;8.95;295.0;Medium Duration
The Railway Man;Jonathan Teplitzky;108.0;Drama, International;8.5;160.0;Medium Duration
Quartet;Dustin Hoffman;98.0;Comedy, Drama;9.96;292.0;Medium Duration
Slay;Adze Ugah;86.0;Comedy, International, Romantic;8.39;341.0;Medium Duration
Takizawa Kabuki ZERO 2020 The Movie;Hideaki Takizawa;139.0;International;9.13;363.0;High Duration
The Paper Tigers;Quoc Bao Tran;111.0;Action & Adventure, Comedy;9.7;336.0;Medium Duration
Quam's Money;Kayode Kasum;115.0;Comedy, Drama, International;9.72;154.0;Medium Duration
The Swarm;Just Philippot;102.0;Horror, International;8.43;281.0;Medium Duration
Chennai Express;Rohit Shetty;135.0;Action & Adventure, Comedy, International;8.86;238.0;High Duration
City of God: 10 Years Later;Cavi Borges, Luciano Vidigal;69.0;International;8.99;167.0;Low Duration
Esperando la carroza;Alejandro Doria;95.0;Comedy, International;9.49;205.0;Medium Duration
Tango Feroz;Marcelo Piñeyro;124.0;Drama, International;8.61;184.0;Medium Duration
'76;Izu Ojukwu;118.0;Drama, International;8.31;319.0;Medium Duration
Aftermath;Peter Winther;115.0;Horror;8.58;211.0;Medium Duration
Heavy;James Mangold;104.0;Drama, Romantic;8.1;248.0;Medium Duration
Ije: The Journey;Chineze Anyaene;106.0;Drama, International;8.04;348.0;Medium Duration
Shiny_Flakes: The Teenage Drug Lord;Eva Müller, Michael Schmitt;97.0;International;9.39;324.0;Medium Duration
Beethoven;Brian Levant;87.0;Comedy;9.06;177.0;Medium Duration
Beethoven's 2nd;Rod Daniel;88.0;Comedy;8.17;205.0;Medium Duration
Beowulf;Robert Zemeckis;114.0;Action & Adventure, Sci-Fi & Fantasy;9.57;297.0;Medium Duration
Boyka: Undisputed;Todor Chapkanov;90.0;Action & Adventure;9.84;244.0;Medium Duration
Catch Me If You Can;Steven Spielberg;142.0;Drama;8.12;331.0;High Duration
Cloudy with a Chance of Meatballs;Phil Lord, Christopher Miller;90.0;Comedy, Sci-Fi & Fantasy;8.62;257.0;Medium Duration
Deep Blue Sea;Renny Harlin;105.0;Action & Adventure, Horror, Sci-Fi & Fantasy;9.94;200.0;Medium Duration
Ferris Bueller's Day Off;John Hughes;103.0;Comedy;8.83;247.0;Medium Duration
Five Feet Apart;Justin Baldoni;116.0;Drama, Romantic;9.94;347.0;Medium Duration
Freedomland;Joe Roth;113.0;Drama, Thriller;8.09;168.0;Medium Duration
Good Luck Chuck;Mark Helfrich;99.0;Comedy, Romantic;9.44;206.0;Medium Duration
I missed you: Director's Cut;Mag Hsu, Hsu Chih-yen;96.0;Drama, International;8.3;171.0;Medium Duration
Inception;Christopher Nolan;148.0;Action & Adventure, Sci-Fi & Fantasy, Thriller;8.79;277.0;High Duration
Magnolia;Paul Thomas Anderson;189.0;Drama;9.47;261.0;High Duration
Major Payne;Nick Castle;97.0;Comedy;8.75;199.0;Medium Duration
My Girl;Howard Zieff;102.0;Drama;9.48;157.0;Medium Duration
My Girl 2;Howard Zieff;99.0;Comedy, Drama;9.14;324.0;Medium Duration
Open Season: Scared Silly;David Feiss;85.0;Comedy;8.77;396.0;Medium Duration
Pineapple Express;David Gordon Green;112.0;Action & Adventure, Comedy;8.19;300.0;Medium Duration
Planet 51;Jorge Blanco;91.0;Comedy, Sci-Fi & Fantasy;9.43;380.0;Medium Duration
Poms;Zara Hayes;91.0;Comedy;8.21;201.0;Medium Duration
Seabiscuit;Gary Ross;141.0;Drama;9.2;337.0;High Duration
Space Cowboys;Clint Eastwood;130.0;Action & Adventure, Drama, Sci-Fi & Fantasy;9.6;396.0;High Duration
Team America: World Police;Trey Parker;98.0;Action & Adventure, Comedy;9.25;230.0;Medium Duration
The Edge of Seventeen;Kelly Fremon Craig;105.0;Comedy, Drama;8.44;229.0;Medium Duration
The Haunting in Connecticut 2: Ghosts of Georgia;Tom Elkins;101.0;Horror;8.43;202.0;Medium Duration
The Last Boy Scout;Tony Scott;105.0;Action & Adventure, Comedy;8.42;219.0;Medium Duration
The Lincoln Lawyer;Brad Furman;118.0;Drama, Thriller;9.94;291.0;Medium Duration
The Losers;Sylvain White;97.0;Action & Adventure;9.03;192.0;Medium Duration
The Machinist;Brad Anderson;102.0;Drama, Thriller;9.15;312.0;Medium Duration
The Net;Irwin Winkler;114.0;Thriller;9.64;350.0;Medium Duration
The Original Kings of Comedy;Spike Lee;111.0;Stand-Up Comedy;9.54;327.0;Medium Duration
Valentine's Day;Garry Marshall;125.0;Comedy, Romantic;9.65;175.0;Medium Duration
The Lost Café;Kenneth Gyang;76.0;Drama, International;8.64;203.0;Medium Duration
The Vault;Jaume Balagueró;118.0;Action & Adventure, International, Thriller;8.24;297.0;Medium Duration
Eyes of a Thief;Najwa Najjar;103.0;Drama, International;9.08;358.0;Medium Duration
I'm Glad I Did;Selçuk Metin;114.0;International;9.5;298.0;Medium Duration
Pomegranates and Myrrh;Najwa Najjar;95.0;Drama, International;9.52;218.0;Medium Duration
Rurouni Kenshin: The Beginning;Keishi Otomo;138.0;Action & Adventure, International;8.09;385.0;High Duration
The Last Mercenary;David Charhon;112.0;Action & Adventure, Comedy, International;9.3;265.0;Medium Duration
Flower Girl;Michelle Bello;94.0;Comedy, International, Romantic;9.21;220.0;Medium Duration
Resort to Love;Steven Tsuchida;102.0;Comedy, Romantic;8.53;289.0;Medium Duration
Bartkowiak;Daniel Markowicz;92.0;Action & Adventure, International;8.81;356.0;Medium Duration
Department;Ram Gopal Varma;143.0;Action & Adventure, International;9.08;339.0;High Duration
Hostage House;David Benullo;86.0;Thriller;8.04;370.0;Medium Duration
Mimi;Laxman Utekar;132.0;Comedy, Drama, International;8.02;166.0;High Duration
The Operative;Yuval Adler;117.0;Drama, International, Thriller;9.65;159.0;Medium Duration
Django Unchained;Quentin Tarantino;165.0;Action & Adventure, Drama;9.23;261.0;High Duration
African America;Muzi Mthembu;97.0;Drama, International;8.6;200.0;Medium Duration
Bankrolled;Marcos Bucay;97.0;Comedy, International;8.87;377.0;Medium Duration
Blood Red Sky;Peter Thorwarth;123.0;Action & Adventure, Horror, International;9.35;308.0;Medium Duration
Kingdom: Ashin of the North;Kim Seong-hun;94.0;Horror, International, Thriller;9.6;296.0;Medium Duration
The Last Letter From Your Lover;Augustine Frizzell;111.0;Drama, Romantic;9.6;240.0;Medium Duration
Cousins;Ainsley Gardiner, Briar Grace-Smith;99.0;Drama;9.39;288.0;Medium Duration
Wannabe Courageous;Mahmoud Karim;90.0;Comedy, International;9.88;305.0;Medium Duration
Words Bubble Up Like Soda Pop;Kyohei Ishiguro;87.0;International;8.4;208.0;Medium Duration
Sanitation Day;Seyi Babatope;105.0;Drama, International, Thriller;9.09;393.0;Medium Duration
Milkwater;Morgan Ingari;102.0;Comedy, Drama;8.43;254.0;Medium Duration
The Tambour of Retribution;Abdulaziz Alshlahei;91.0;Drama, International, Romantic;8.91;397.0;Medium Duration
Cosmic Sin;Edward Drake;88.0;Action & Adventure;8.59;174.0;Medium Duration
2 Weeks in Lagos;Kathryn Fasegha;107.0;Drama, International, Romantic;9.13;249.0;Medium Duration
Deep;Sita Likitvanichkul, Jetarin Ratanaserikiat, Apirak Samudkitpaisan, Thanabodee Uawithya, Adirek Wattaleela;101.0;Drama, International, Thriller;9.2;151.0;Medium Duration
Fear Street Part 3: 1666;Leigh Janiak;114.0;Horror;9.52;174.0;Medium Duration
La ley de Herodes;Luis Estrada;123.0;Comedy, International;8.73;171.0;Medium Duration
The Beguiled;Sofia Coppola;94.0;Drama, Thriller;8.12;180.0;Medium Duration
The Book of Henry;Colin Trevorrow;105.0;Drama;9.47;336.0;Medium Duration
The Twilight Saga: Breaking Dawn: Part 1;Bill Condon;117.0;Drama, Romantic;9.63;397.0;Medium Duration
The Twilight Saga: Breaking Dawn: Part 2;Bill Condon;115.0;Drama, Romantic;9.78;303.0;Medium Duration
The Twilight Saga: Eclipse;David Slade;124.0;Drama, Romantic;8.26;270.0;Medium Duration
The Twilight Saga: New Moon;Chris Weitz;131.0;Drama, Romantic;8.45;254.0;High Duration
Twilight;Catherine Hardwicke;122.0;Action & Adventure, Drama, Romantic;9.08;394.0;Medium Duration
A Perfect Fit;Hadrah Daeng Ratu;113.0;Comedy, Drama, International;9.78;321.0;Medium Duration
Cheech & Chong's Still Smokin;Tommy Chong;91.0;Comedy;9.79;283.0;Medium Duration
Emicida: AmarElo - Live in São Paulo;Fred Ouro Preto;100.0;International;8.3;157.0;Medium Duration
Lift Like a Girl;Mayye Zayed;93.0;International;8.3;250.0;Medium Duration
My Amanda;Alessandra de Rossi;90.0;Drama, International, Romantic;9.46;332.0;Medium Duration
Surf's Up;Ash Brannon, Chris Buck;86.0;Comedy;9.53;369.0;Medium Duration
The Unknown Saint;Alaa Eddine Aljem;100.0;Comedy, Drama;8.05;330.0;Medium Duration
A Classic Horror Story;Roberto De Feo, Paolo Strippoli;95.0;Horror, International;9.88;329.0;Medium Duration
Gunpowder Milkshake;Navot Papushado;115.0;Action & Adventure, Comedy;8.65;330.0;Medium Duration
Private Network: Who Killed Manuel Buendía?;Manuel Alcalá;100.0;International;9.14;166.0;Medium Duration
The Guide to the Perfect Family;Ricardo Trogi;102.0;Comedy, Drama, International;9.74;316.0;Medium Duration
American Woman;Semi Chellas;87.0;Drama;8.09;221.0;Medium Duration
Day of Destiny;Akay Mason, Abosi Ogba;110.0;Drama, International;9.25;349.0;Medium Duration
American Ultra;Nima Nourizadeh;96.0;Action & Adventure, Comedy;9.68;375.0;Medium Duration
The Stand-Up;Daniel Růžička;93.0;Stand-Up Comedy;9.24;179.0;Medium Duration
The Tour;Juraj Šajmovič;93.0;Comedy, International;8.97;362.0;Medium Duration
Fear Street Part 2: 1978;Leigh Janiak;111.0;Horror;8.77;348.0;Medium Duration
Finding Hubby;Femi D. Ogunsanwo;105.0;Comedy, Drama, International;9.18;285.0;Medium Duration
How I Became a Superhero;Douglas Attal;101.0;Action & Adventure, Drama, International;9.22;287.0;Medium Duration
Lee Su-geun: The Sense Coach;Kim Joo-hyung;46.0;Stand-Up Comedy;9.97;307.0;Low Duration
Lethal Love;Avi Federgreen;89.0;Thriller;8.41;191.0;Medium Duration
Ratchet and Clank;Jericca Cleland, Kevin Munroe;94.0;Comedy, Sci-Fi & Fantasy;8.71;326.0;Medium Duration
Back to Q82;Ahmed Siddiqui;104.0;Comedy, International;9.32;268.0;Medium Duration
Home Again;Hallie Meyers-Shyer;97.0;Comedy, Drama, Romantic;8.31;316.0;Medium Duration
Midnight Sun;Scott Speer;91.0;Drama, Romantic;8.06;160.0;Medium Duration
Rock the Kasbah;Barry Levinson;106.0;Comedy;9.15;199.0;Medium Duration
Awon Boyz;Tolulope Itegboje;38.0;International;8.74;329.0;Low Duration
Brick Mansions;Camille Delamarre;90.0;Action & Adventure, International;9.94;304.0;Medium Duration
Clash;Pascal Atuma;87.0;Drama, International;9.67;168.0;Medium Duration
Major Grom: Plague Doctor;Oleg Trofim;138.0;Action & Adventure, International;9.17;276.0;High Duration
Mama Drama;Seyi Babatope;105.0;Drama, International;9.42;179.0;Medium Duration
Tango With Me;Mahmood Ali-Balogun;104.0;Drama, International, Romantic;8.16;281.0;Medium Duration
Therapy;Anurin Nwunembom, Musing Derrick;85.0;Drama, International;9.79;259.0;Medium Duration
This Little Love Of Mine;Christine Luby;92.0;International, Romantic;9.21;218.0;Medium Duration
Three Thieves;Udoka Oyeka;108.0;Comedy, International;8.96;198.0;Medium Duration
A Land Imagined;Yeo Siew Hua;95.0;Drama, International;8.4;262.0;Medium Duration
Har Kisse Ke Hisse: Kaamyaab;Hardik Mehta;105.0;Drama, International;9.01;164.0;Medium Duration
Rehmataan;Rajveer Singh Maan, Harpeet Singh;116.0;Drama, International, Romantic;8.74;168.0;Medium Duration
Return of the Prodigal Son;Youssef Chahine;124.0;Drama, International;8.46;362.0;Medium Duration
Rise: Ini Kalilah;Saw Teong Hin, Nik Amir Mustapha, M.S. Prem Nath;101.0;Drama, International;8.03;274.0;Medium Duration
Si Doel the Movie 2;Rano Karno;95.0;Drama, International;8.08;354.0;Medium Duration
Truckbhar Swapna;Pramod Pawar;128.0;Comedy, Drama, International;9.66;357.0;High Duration
Ujala;Naresh Saigal;143.0;Drama, International;9.54;289.0;High Duration
